SYNTH_RP_ID,DAY_INDEX,START_TIME,END_TIME,LUNCH_DURATION
RP_0,0,800,1610,40.0
RP_0,1,800,1610,40.0
RP_0,2,800,1610,40.0
RP_0,3,800,1610,40.0
RP_0,4,800,1610,40.0
RP_0,5,0,0,40.0
RP_0,6,0,0,40.0
RP_1,0,800,1610,40.0
RP_1,1,800,1610,40.0
RP_1,2,800,1610,40.0
RP_1,3,800,1610,40.0
RP_1,4,800,1610,40.0
RP_1,5,0,0,40.0
RP_1,6,0,0,40.0
RP_1,7,800,1610,40.0
RP_1,8,800,1610,40.0
RP_1,9,800,1610,40.0
RP_1,10,800,1610,40.0
RP_1,11,800,1610,40.0
RP_1,12,0,0,40.0
RP_1,13,0,0,40.0
RP_1,14,0,0,40.0
RP_1,15,800,1610,40.0
RP_1,16,800,1610,40.0
RP_1,17,800,1610,40.0
RP_1,18,800,1610,40.0
RP_1,19,800,1610,40.0
RP_1,20,0,0,40.0
RP_1,21,0,0,40.0
RP_1,22,800,1610,40.0
RP_1,23,800,1610,40.0
RP_1,24,800,1610,40.0
RP_1,25,800,1610,40.0
RP_1,26,0,0,40.0
RP_1,27,0,0,40.0
RP_1,28,800,1610,40.0
RP_1,29,800,1610,40.0
RP_1,30,800,1610,40.0
RP_1,31,800,1610,40.0
RP_1,32,800,1610,40.0
RP_1,33,800,1610,40.0
RP_1,34,0,0,40.0
RP_1,35,0,0,40.0
RP_1,36,800,1610,40.0
RP_1,37,800,1610,40.0
RP_1,38,800,1610,40.0
RP_1,39,800,1610,40.0
RP_1,40,0,0,40.0
RP_1,41,0,0,40.0
RP_1,42,800,1610,40.0
RP_1,43,800,1610,40.0
RP_1,44,800,1610,40.0
RP_1,45,0,0,40.0
RP_1,46,800,1610,40.0
RP_1,47,800,1610,40.0
RP_1,48,0,0,40.0
RP_1,49,800,1610,40.0
RP_1,50,800,1610,40.0
RP_1,51,800,1610,40.0
RP_1,52,800,1610,40.0
RP_1,53,800,1610,40.0
RP_1,54,0,0,40.0
RP_1,55,0,0,40.0
RP_1,56,800,1610,40.0
RP_1,57,800,1610,40.0
RP_1,58,800,1610,40.0
RP_1,59,800,1610,40.0
RP_1,60,800,1610,40.0
RP_1,61,0,0,40.0
RP_1,62,0,0,40.0
RP_1,63,800,1610,40.0
RP_1,64,800,1610,40.0
RP_1,65,800,1610,40.0
RP_1,66,800,1610,40.0
RP_1,67,800,1610,40.0
RP_1,68,0,0,40.0
RP_1,69,0,0,40.0
RP_1,70,0,0,40.0
RP_1,71,800,1610,40.0
RP_1,72,800,1610,40.0
RP_1,73,800,1610,40.0
RP_1,74,800,1610,40.0
RP_1,75,800,1610,40.0
RP_1,76,0,0,40.0
RP_1,77,800,1610,40.0
RP_1,78,800,1610,40.0
RP_1,79,800,1610,40.0
RP_1,80,800,1610,40.0
RP_1,81,0,0,40.0
RP_1,82,0,0,40.0
RP_1,83,800,1610,40.0
RP_1,84,800,1610,40.0
RP_1,85,800,1610,40.0
RP_1,86,800,1610,40.0
RP_1,87,800,1610,40.0
RP_1,88,800,1610,40.0
RP_1,89,0,0,40.0
RP_1,90,0,0,40.0
RP_2,0,800,1615,45.0
RP_2,1,800,1615,45.0
RP_2,2,800,1615,45.0
RP_2,3,800,1615,45.0
RP_2,4,800,1615,45.0
RP_2,5,0,0,45.0
RP_2,6,0,0,45.0
RP_2,7,800,1615,45.0
RP_2,8,800,1615,45.0
RP_2,9,800,1615,45.0
RP_2,10,800,1615,45.0
RP_2,11,800,1615,45.0
RP_2,12,0,0,45.0
RP_2,13,0,0,45.0
RP_2,14,800,1615,45.0
RP_2,15,800,1615,45.0
RP_2,16,800,1615,45.0
RP_2,17,800,1615,45.0
RP_2,18,800,1615,45.0
RP_2,19,0,0,45.0
RP_2,20,0,0,45.0
RP_2,21,800,1615,45.0
RP_2,22,800,1615,45.0
RP_2,23,0,0,45.0
RP_2,24,800,1615,45.0
RP_2,25,0,0,45.0
RP_2,26,800,1615,45.0
